Nom;Equipe;Profil;Age;assisted_shots;Passes décisives;assists_per90;average_shot_distance;birth_year;blocked_passes;blocked_shots;Contres;cards_red;cards_yellow;carries;carries_distance;carries_into_final_third;carries_into_penalty_area;carries_progressive_distance;challenge_tackles;challenge_tackles_pct;challenges;challenges_lost;Dégagements;corner_kicks;corner_kicks_in;corner_kicks_out;corner_kicks_straight;crosses;crosses_into_penalty_area;Ballons perdus;errors;Matchs joués;games_starts;Buts;goals_assists;goals_assists_pens_per90;goals_assists_per90;goals_pens;goals_pens_per90;goals_per90;goals_per_shot;goals_per_shot_on_target;Interceptions;matches;Minutes jouées;minutes_90s;Contrôles ratés;nationality;xG sans pénalty;npxg_net;npxg_per90;xG par tir (sans pénalty);npxg_xg_assist;npxg_xg_assist_per90;pass_xa;Passes tentées;passes_blocked;Passes réussies;passes_completed_long;passes_completed_medium;passes_completed_short;passes_dead;passes_free_kicks;passes_into_final_third;passes_into_penalty_area;passes_live;passes_long;passes_medium;passes_offsides;passes_pct;passes_pct_long;passes_pct_medium;passes_pct_short;passes_progressive_distance;passes_received;passes_short;passes_switches;passes_total_distance;pens_att;pens_made;Nom;position;Conduites progressives;Passes progressives;progressive_passes_received;Tirs;shots_free_kicks;Tirs cadrés;shots_on_target_pct;shots_on_target_per90;shots_per90;Tacles;tackles_att_3rd;tackles_def_3rd;tackles_interceptions;tackles_mid_3rd;tackles_won;take_ons;take_ons_tackled;take_ons_tackled_pct;take_ons_won;take_ons_won_pct;team;through_balls;throw_ins;touches;touches_att_3rd;touches_att_pen_area;touches_def_3rd;touches_def_pen_area;touches_live_ball;touches_mid_3rd;Buts attendus (xG);xg_assist;xg_assist_net;xg_assist_per90;xg_net;xg_per90;xg_xg_assist_per90
Glen Kamara;Rennes;https://fbref.com/en/players/4da9191b/Glen-Kamara;29-164;5;1;0.14;16.2;1995;7;0;7;0;0;268;996;3;0;356;11;64.7;17;6;7;0;0;0;0;0;0;6;0;13;8;0;1;0.14;0.14;0;0.00;0.00;0.00;;7;Matches;662;7.4;7;fi FIN;0.2;-0.2;0.02;0.17;0.3;0.05;0.7;412;3;372;19;130;213;10;9;34;8;400;20;136;2;90.3;95.0;95.6;91.0;1464;350;234;0;5500;0;0;Glen Kamara;MF;5;34;22;1;0;0;0.0;0.00;0.14;23;2;10;30;11;11;8;4;50.0;4;50.0;Rennes;1;1;476;101;13;70;11;476;309;0.2;0.2;+0.8;0.02;-0.2;0.02;0.05
Luc Zogbé;Brest;https://fbref.com/en/players/3725b44f/Luc-Zogbe;20-017;4;0;0.00;23.2;2005;9;2;11;0;2;196;985;7;0;384;18;69.2;26;8;22;0;0;0;0;14;2;5;1;13;7;0;0;0.00;0.00;0;0.00;0.00;0.00;0.00;14;Matches;638;7.1;9;ci CIV;0.3;-0.3;0.04;0.03;0.4;0.06;0.1;328;7;253;20;110;115;69;10;12;2;259;40;142;0;77.1;50.0;77.5;89.8;1357;202;128;0;4265;0;0;Luc Zogbé;DF;4;19;19;8;0;1;12.5;0.14;1.13;32;4;17;46;11;18;19;11;57.9;4;21.1;Brest;0;59;436;92;5;158;30;436;192;0.3;0.1;-0.1;0.02;-0.3;0.04;0.06
Bilal Nadir;Marseille;https://fbref.com/en/players/226673c2/Bilal-Nadir;21-133;6;0;0.00;18.4;2003;5;1;6;0;2;152;978;12;3;544;4;66.7;6;2;7;3;1;0;0;6;0;8;0;14;5;1;1;0.25;0.25;1;0.25;0.25;0.13;0.33;2;Matches;356;4.0;7;ma MAR;0.6;+0.4;0.15;0.07;1.0;0.25;0.4;229;9;199;4;77;105;13;9;14;5;215;5;87;1;86.9;80.0;88.5;93.8;526;213;112;0;2765;0;0;Bilal Nadir;MF;18;18;25;8;1;3;37.5;0.76;2.02;10;0;4;12;6;3;9;2;22.2;4;44.4;Marseille;1;0;280;103;10;33;7;280;149;0.6;0.4;-0.4;0.11;+0.4;0.15;0.25
Neal Maupay;Marseille;https://fbref.com/en/players/4bcf39f6/Neal-Maupay;28-239;13;4;0.35;10.6;1996;5;0;5;1;3;197;970;13;7;380;3;50.0;6;3;0;0;0;0;0;1;0;19;0;21;13;4;8;0.70;0.70;4;0.35;0.35;0.21;0.40;2;Matches;1,034;11.5;34;fr FRA;4.1;-0.1;0.36;0.22;6.3;0.55;1.3;291;9;244;14;68;144;32;4;15;11;259;16;80;0;83.8;87.5;85.0;87.3;636;293;165;0;3342;0;0;Neal Maupay;FW;11;36;79;19;0;10;52.6;0.87;1.65;9;2;1;11;6;4;14;7;50.0;6;42.9;Marseille;1;3;379;171;48;20;2;379;194;4.1;2.2;+1.8;0.19;-0.1;0.36;0.55
Henrik Meister;Rennes;https://fbref.com/en/players/e1a873eb/Henrik-Meister;21-144;2;0;0.00;17.4;2003;4;0;4;0;0;12;97;1;1;48;0;;0;0;0;0;0;0;0;0;0;2;0;4;0;1;1;1.43;1.43;1;1.43;1.43;0.50;1.00;1;Matches;63;0.7;7;dk DEN;0.1;+0.9;0.09;0.03;0.3;0.45;0.0;14;0;11;0;0;9;0;0;1;0;14;0;1;0;78.6;;0.0;100.0;32;14;9;0;94;0;0;Henrik Meister;FW;2;1;4;2;0;1;50.0;1.43;2.86;2;0;0;3;2;0;0;0;;0;;Rennes;0;0;31;13;3;3;0;31;15;0.1;0.3;-0.3;0.37;+0.9;0.09;0.45
Esteban Lepaul;Angers;https://fbref.com/en/players/85ce1949/Esteban-Lepaul;24-357;5;0;0.00;12.6;2000;10;2;12;0;1;165;967;10;6;425;2;18.2;11;9;8;0;0;0;0;11;2;5;0;22;12;5;5;0.41;0.41;5;0.41;0.41;0.19;0.45;2;Matches;1,096;12.2;18;fr FRA;3.7;+1.3;0.30;0.14;4.4;0.36;1.1;241;9;168;8;58;89;14;0;10;5;225;18;78;2;69.7;44.4;74.4;78.8;356;233;113;2;2391;0;0;Esteban Lepaul;FW;19;11;45;26;0;11;42.3;0.90;2.14;6;3;0;8;3;3;13;9;69.2;2;15.4;Angers;1;2;334;125;39;33;9;334;180;3.7;0.8;-0.8;0.06;+1.3;0.30;0.36
Pol Lirola;Marseille;https://fbref.com/en/players/ff800ed8/Pol-Lirola;27-240;8;2;0.29;18.2;1997;4;2;6;1;1;224;956;6;4;476;4;33.3;12;8;10;0;0;0;0;14;1;4;0;16;5;1;3;0.44;0.44;1;0.15;0.15;0.20;1.00;4;Matches;615;6.8;5;es ESP;0.5;+0.5;0.07;0.10;1.2;0.18;0.6;363;13;299;9;119;159;42;2;13;4;320;21;136;1;82.4;42.9;87.5;90.3;878;277;176;0;4360;0;0;Pol Lirola;DF;11;19;40;5;0;1;20.0;0.15;0.73;12;0;5;16;7;8;2;1;50.0;1;50.0;Marseille;0;40;416;124;13;108;17;416;187;0.5;0.7;+1.3;0.10;+0.5;0.07;0.18
Soumaïla Coulibaly;Brest;https://fbref.com/en/players/9dff291c/Soumaila-Coulibaly;21-178;1;0;0.00;12.1;2003;5;2;7;0;1;226;940;2;0;471;1;100.0;1;0;26;0;0;0;0;0;0;0;0;7;5;0;0;0.00;0.00;0;0.00;0.00;0.00;;5;Matches;438;4.9;3;fr FRA;0.2;-0.2;0.03;0.04;0.3;0.05;0.2;317;1;281;36;159;83;15;9;12;1;302;56;168;0;88.6;64.3;94.6;93.3;1657;247;89;16;5923;0;0;Soumaïla Coulibaly;DF;1;16;0;4;0;0;0.0;0.00;0.82;4;0;2;9;2;2;2;2;100.0;0;0.0;Brest;0;0;370;10;5;211;50;370;150;0.2;0.1;-0.1;0.02;-0.2;0.03;0.05
Eliot Matazo;Monaco;https://fbref.com/en/players/15944afd/Eliot-Matazo;23-054;1;0;0.00;;2002;0;0;0;0;0;23;94;0;0;31;0;;0;0;2;0;0;0;0;0;0;0;0;3;1;0;0;0.00;0.00;0;0.00;0.00;;;1;Matches;68;0.8;3;be BEL;0.0;0.0;0.00;;0.1;0.08;0.0;41;0;35;1;16;16;2;1;1;0;39;1;16;0;85.4;100.0;100.0;80.0;168;31;20;0;533;0;0;Eliot Matazo;MF;0;7;3;0;0;0;;0.00;0.00;3;0;0;4;3;2;3;3;100.0;0;0.0;Monaco;0;1;54;7;0;8;2;54;39;0.0;0.1;-0.1;0.08;0.0;0.00;0.08
Krépin Diatta;Monaco;https://fbref.com/en/players/8104e41e/Krepin-Diatta;26-044;3;0;0.00;13.1;1999;4;1;5;0;1;163;930;10;0;493;13;65.0;20;7;11;0;0;0;0;13;2;2;2;14;2;0;0;0.00;0.00;0;0.00;0.00;0.00;0.00;7;Matches;399;4.4;8;sn SEN;0.2;-0.2;0.04;0.08;0.9;0.21;0.8;254;5;190;12;75;100;35;2;12;5;218;24;100;1;74.8;50.0;75.0;86.2;1075;171;116;3;3038;0;0;Krépin Diatta;DF;12;17;34;2;0;1;50.0;0.23;0.45;17;3;12;24;2;11;6;1;16.7;5;83.3;Monaco;1;33;303;96;7;64;12;303;147;0.2;0.8;-0.8;0.18;-0.2;0.04;0.21
