Date,Time,Home,Away,home_goal,away_goal,xG_home,xG_away
2025-08-15,20:45,Rennes,Marseille,1,0,1.5,1.7
2025-08-16,17:00,Lens,Lyon,0,1,1.4,1.4
2025-08-16,19:00,Monaco,Le Havre,3,1,1.8,0.6
2025-08-16,21:05,Nice,Toulouse,0,1,0.8,0.6
2025-08-17,15:00,Brest,Lille,3,3,1.9,1.6
2025-08-17,17:15,Angers,Paris FC,1,0,1.0,0.9
2025-08-17,17:15,Metz,Strasbourg,0,1,0.3,0.6
2025-08-17,17:15,Auxerre,Lorient,1,0,1.3,1.3
2025-08-17,20:45,Nantes,Paris S-G,0,1,0.1,1.4
2025-08-22,20:45,Paris S-G,Angers,1,0,1.8,0.2
2025-08-23,17:00,Marseille,Paris FC,5,2,2.3,1.1
2025-08-23,19:00,Nice,Auxerre,3,1,1.9,1.5
2025-08-23,21:05,Lyon,Metz,3,0,2.8,0.6
2025-08-24,15:00,Lorient,Rennes,4,0,2.9,0.1
2025-08-24,17:15,Toulouse,Brest,2,0,1.3,0.9
2025-08-24,17:15,Le Havre,Lens,1,2,1.7,1.1
2025-08-24,17:15,Strasbourg,Nantes,1,0,1.8,0.4
2025-08-24,20:45,Lille,Monaco,1,0,2.9,1.2
2025-08-29,20:45,Lens,Brest,3,1,3.8,1.1
2025-08-30,17:00,Lorient,Lille,1,7,1.1,3.5
2025-08-30,19:00,Nantes,Auxerre,1,0,0.5,0.7
2025-08-30,21:05,Toulouse,Paris S-G,3,6,2.2,2.6
2025-08-31,15:00,Angers,Rennes,1,1,1.2,1.5
2025-08-31,17:15,Le Havre,Nice,3,1,2.6,0.6
2025-08-31,17:15,Monaco,Strasbourg,3,2,1.9,1.6
2025-08-31,17:15,Paris FC,Metz,3,2,3.2,1.8
2025-08-31,20:45,Lyon,Marseille,1,0,2.3,0.8
2025-09-12,20:45,Marseille,Lorient,4,0,2.2,0.1
2025-09-13,17:00,Nice,Nantes,1,0,1.7,0.8
2025-09-13,21:05,Auxerre,Monaco,1,2,0.9,1.4
2025-09-14,15:00,Lille,Toulouse,2,1,2.1,0.8
2025-09-14,17:15,Metz,Angers,1,1,1.7,2.4
2025-09-14,17:15,Brest,Paris FC,1,2,2.5,1.6
2025-09-14,17:15,Paris S-G,Lens,2,0,1.1,1.5
2025-09-14,17:15,Strasbourg,Le Havre,1,0,1.4,0.6
2025-09-14,20:45,Rennes,Lyon,3,1,2.1,1.7
2025-09-19,20:45,Lyon,Angers,1,0,1.8,1.0
2025-09-20,17:00,Nantes,Rennes,2,2,2.0,1.4
2025-09-20,19:00,Brest,Nice,4,1,2.0,2.3
2025-09-20,21:05,Lens,Lille,3,0,3.6,1.8
2025-09-21,15:00,Paris FC,Strasbourg,2,3,1.6,2.0
2025-09-21,17:15,Auxerre,Toulouse,1,0,0.7,2.2
2025-09-21,17:15,Monaco,Metz,5,2,3.5,2.2
2025-09-21,17:15,Le Havre,Lorient,1,1,2.3,1.2
2025-09-22,20:00,Marseille,Paris S-G,1,0,1.1,0.7
2025-09-26,20:45,Strasbourg,Marseille,1,2,1.4,2.0
2025-09-27,17:00,Lorient,Monaco,3,1,1.9,1.0
2025-09-27,19:00,Toulouse,Nantes,2,2,2.0,1.2
2025-09-27,21:05,Paris S-G,Auxerre,2,0,1.7,0.7
2025-09-28,15:00,Nice,Paris FC,1,1,1.0,1.8
2025-09-28,17:15,Metz,Le Havre,0,0,0.5,0.3
2025-09-28,17:15,Lille,Lyon,0,1,1.5,0.5
2025-09-28,17:15,Angers,Brest,0,2,0.5,1.5
2025-09-28,20:45,Rennes,Lens,0,0,1.2,1.0
2025-10-03,20:45,Paris FC,Lorient,2,0,1.0,0.7
2025-10-04,17:00,Metz,Marseille,0,3,0.1,2.7
2025-10-04,19:00,Brest,Nantes,0,0,1.5,0.2
2025-10-04,21:05,Auxerre,Lens,1,2,1.7,0.4
2025-10-05,15:00,Lyon,Toulouse,1,2,1.2,1.2
2025-10-05,17:15,Strasbourg,Angers,5,0,4.6,0.3
2025-10-05,17:15,Monaco,Nice,2,2,2.9,1.1
2025-10-05,17:15,Le Havre,Rennes,2,2,1.7,1.0
2025-10-05,20:45,Lille,Paris S-G,1,1,0.5,1.5
2025-10-17,20:45,Paris S-G,Strasbourg,3,3,2.7,2.3
2025-10-18,17:00,Nice,Lyon,3,2,0.7,3.3
2025-10-18,19:00,Angers,Monaco,1,1,1.8,1.9
2025-10-18,21:05,Marseille,Le Havre,6,2,4.2,0.5
2025-10-19,15:00,Lens,Paris FC,2,1,1.6,0.5
2025-10-19,17:15,Rennes,Auxerre,2,2,2.0,1.5
2025-10-19,17:15,Lorient,Brest,3,3,1.2,1.6
2025-10-19,17:15,Toulouse,Metz,4,0,2.5,0.1
2025-10-19,20:45,Nantes,Lille,0,2,0.6,2.5
2025-10-24,20:45,Paris FC,Nantes,1,2,1.2,0.9
2025-10-25,17:00,Brest,Paris S-G,0,3,1.6,2.0
2025-10-25,19:00,Monaco,Toulouse,1,0,2.9,0.7
2025-10-25,21:05,Lens,Marseille,2,1,1.8,0.7
2025-10-26,15:00,Lille,Metz,6,1,2.9,1.3
2025-10-26,17:15,Auxerre,Le Havre,0,1,0.6,1.2
2025-10-26,17:15,Angers,Lorient,2,0,1.1,1.9
2025-10-26,17:15,Rennes,Nice,1,2,1.7,0.7
2025-10-26,20:45,Lyon,Strasbourg,2,1,1.7,0.5
2025-10-29,19:00,Metz,Lens,2,0,3.3,1.3
2025-10-29,19:00,Lorient,Paris S-G,1,1,0.3,1.4
2025-10-29,19:00,Le Havre,Brest,1,0,1.0,0.6
2025-10-29,19:00,Nice,Lille,2,0,1.7,1.0
2025-10-29,21:05,Strasbourg,Auxerre,3,0,3.9,0.4
2025-10-29,21:05,Marseille,Angers,2,2,1.3,1.0
2025-10-29,21:05,Nantes,Monaco,3,5,1.6,4.3
2025-10-29,21:05,Paris FC,Lyon,3,3,0.6,1.3
2025-10-29,21:05,Toulouse,Rennes,2,2,1.5,1.6
2025-11-01,17:00,Paris S-G,Nice,1,0,2.2,0.4
2025-11-01,19:00,Monaco,Paris FC,0,1,0.8,1.0
2025-11-01,21:05,Auxerre,Marseille,0,1,1.2,0.5
